itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
339,3,2.937231266273969,4.125986251632043,3.5611191109466875,3.332394821538456,4.8216776973198
300,2,2.897419736962409,3.8042142826196232,3.297261981226039,3.22230663601474,4.321856607929071
327,4,2.875303648348965,3.573933795086752,3.119020146157481,3.1561995775255944,4.221692729557333
264,2,2.8641791500974607,3.5370080329848435,3.0480495178010405,3.0728327015498227,3.929971981780032
332,1,2.854986861645449,3.466705469491234,2.9312826767646225,2.8947033598674685,3.8864223155223145
299,3,2.8302710548632173,3.362375488128368,2.844671128276981,2.641185491818152,2.982481649092527
348,4,2.826906482519066,3.3055832475534483,2.757063822045243,2.589961271311532,2.8534379027660086
317,2,2.823226914097869,3.198802895295294,2.5872415315161863,2.559736849918726,2.674230406898263
334,3,2.8195538012729022,2.8494305726935205,2.4007739347935897,2.40653776990095,2.621724099153208
336,1,2.8095035580512717,2.806532803341825,2.395285832395139,2.283170001484025,2.568283954591512
340,5,2.8012637432951504,2.68280990239812,2.16770369078016,2.2699686519093847,2.548896212982585
