itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
191,5,4.42425610984351,4.6547771505524524,4.983970784055068,5.0,5.0
341,3,4.4,4.584723159721203,4.906753249155923,5.0,5.0
418,4,4.398083304886823,4.441238452157368,4.875258518956818,4.955372830757477,4.986383744644262
318,5,4.350212199841768,4.43995060321355,4.839053308925221,4.9390119739799845,4.966155726522071
419,3,4.297842119817023,4.3906706321753015,4.731659863561723,4.899506766152003,4.961784534245774
172,4,4.297651032561287,4.350809581472046,4.714694752473271,4.792814103748945,4.884135079561746
435,5,4.271749452273749,4.345611927969791,4.700551050801897,4.786555024897971,4.839972127189538
504,5,4.271691700048198,4.332131754265482,4.666910721076896,4.689463272070808,4.835335015442606
288,4,4.224545084612096,4.322413257975068,4.648739914530125,4.6857928943151865,4.777921072004672
391,3,4.224443518067162,4.315355503050218,4.603110086563475,4.664574749201665,4.775431530659773
385,5,4.196529673113556,4.263809923083669,4.602979088618488,4.646481573444692,4.740740837973371
12,5,4.173343149326645,4.248680676346008,4.599926915779909,4.642651173042279,4.706021477019096
96,5,4.12537110685356,4.232551647312142,4.543675826791661,4.638440046230754,4.680677265976138
69,5,4.12486233034832,4.225986881819153,4.478774820516074,4.635491880979458,4.655687646012053
157,5,4.124824653385656,4.208186122274951,4.4512436190058855,4.634522126044014,4.533928815764075
182,4,4.12410963378939,4.194953937936149,4.4169912773129845,4.49933055606429,4.485065231712813
80,4,4.0995953170972985,4.182366092780291,4.40665347882006,4.498982878782699,4.4447871698305015
265,5,4.0987897501659125,4.163208394521294,4.403619630136221,4.484698261126274,4.424499720393152
219,1,4.07710240384909,4.158227398933448,4.39377832697059,4.458005771844163,4.390399101308715
396,4,4.077088431070246,4.136979137164985,4.374681935313903,4.435139606527583,4.375603541741765
551,1,4.074997492938092,4.124432778258984,4.341424887687955,4.415633857037526,4.1812615290043365
405,3,4.072551253727695,4.109692545152348,4.305284834824407,4.328403413945343,4.178736403176753
402,5,4.049032914784006,4.095270915327469,4.286533773241092,4.3165972804986925,4.16935843737714
118,2,4.026010204723528,4.037578443834662,4.267462142326041,4.313768179256892,4.165318591615804
572,3,4.025526388536701,3.988747657634711,4.266572927991883,4.311817729981113,4.139536771494304
541,2,4.025419453450389,3.97666305707033,4.258958447968106,4.304319239936411,4.128270525553049
229,3,4.023713717002291,3.945265876893613,4.210623415712273,4.283224948649957,4.090785784862836
134,4,4.022984307666301,3.944012097420966,4.187431173735368,4.276289985185254,4.07357343238604
663,5,4.022682509308496,3.9351194918754433,4.147537109729615,4.246990238257338,4.067668649997313
463,4,3.999037095852997,3.873435117646436,4.112474278633987,4.2029091952584805,4.031035120890992
