itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
480,4,4.174144509181112,4.6221116627103305,4.226281572958685,4.49550032545832,5.0
479,5,4.149337624151961,4.471501837788699,4.21854845501383,4.4651203267884885,5.0
238,5,4.099430845777148,4.4592997180161165,4.217114392438233,4.444593349202314,5.0
7,2,4.098551427328341,4.429816003196301,4.177853930553018,4.406134992102377,4.9270869610267765
285,3,4.075407196303695,4.413194317237072,4.133579031610285,4.398363938371546,4.857496270809456
183,4,4.074619917624103,4.311032393406037,4.121177497506906,4.307514674456641,4.513340433709522
302,4,4.074366414176583,4.268882283414393,4.112875835220196,4.29683421514932,4.478782179591151
474,5,4.073397040103134,4.251707749010762,4.094296865544917,4.207532429796812,4.366120020934607
508,3,4.024503724019127,4.237441033847443,4.044021751441311,4.197832580746815,4.348000649461696
317,3,4.021688415059281,4.206959651914167,3.9952229776943615,4.171134725240321,4.291714917006177
460,2,3.999790207537224,4.201548881739091,3.992285444010101,4.156527615118156,4.1382189931829645
340,2,3.999402087908589,4.1572915411563445,3.950480071948357,4.113765812893274,3.991107803036785
475,5,3.998952237525905,4.137793353942222,3.90777972357402,4.113587077995401,3.90898964024607
168,4,3.998046764296836,4.130593209260537,3.888221714672921,4.104563604150026,3.8979230141188808
205,3,3.996787504235375,4.118516852319641,3.870427335693145,4.097160572045423,3.897856258452588
304,4,3.973955661873162,4.110877378141003,3.8676363614589415,4.079837201428815,3.8535930181799936
410,4,3.949594113813934,4.028769156522799,3.8449697098641353,4.04104118224542,3.838584754698642
216,5,3.949583022896433,4.022236627465064,3.820081318035959,4.024437306031638,3.8350390991636014
501,5,3.949093191839428,4.016638514127241,3.7951730968554207,3.904423243390005,3.802852419312562
208,4,3.9484882119702416,4.007539869898615,3.762153503734029,3.877540667915645,3.77608181410876
284,2,3.926462874350804,3.978898758084128,3.71585699461096,3.8702587056658655,3.611707970226399
50,4,3.925231019077308,3.974056625281076,3.694574513123563,3.796581161621201,3.5942429207948825
137,5,3.923764888832253,3.970264768877682,3.68356169979002,3.7696923431035296,3.525425777497864
498,4,3.923012959518896,3.954832378048405,3.602027808870851,3.749138009315911,3.3724423368950043
526,3,3.8986743747605943,3.934231628128696,3.546588496300323,3.748681525939887,3.370522894541766
195,4,3.873429761976425,3.925287601641216,3.5208658065509546,3.736892965582204,3.36602195935671
533,4,3.82510597569124,3.900002279214047,3.5133428451803987,3.7193044449898505,3.2078793549616167
274,4,3.824339083854861,3.85398090969973,3.5047228953305463,3.680963057772346,3.1862815391306847
165,5,3.822041711135528,3.8385400951644,3.4919034189637213,3.678850859843282,3.089942245485638
423,3,3.799005239087297,3.8155550988344,3.487954149463203,3.62897427109855,3.0374183872509457
213,4,3.7742398510899697,3.7940735142034607,3.486505662759684,3.617110044094204,3.037051275570392
531,4,3.748016146734444,3.666330390363882,3.4621008351585942,3.565734904707822,3.0295418927848115
188,3,3.7465107363505648,3.657329167968817,3.446136007448554,3.4520516492811413,3.0039430704398864
192,4,3.746257579558215,3.6357154724392178,3.3662590769141003,3.443381167969539,2.8900158066098838
189,3,3.723882105904638,3.570664197711727,3.3033081287063157,3.366217843959459,2.8417453083785595
491,4,3.697922074200275,3.55018539216591,3.248895370419963,3.0896052530437785,2.8268367599904445
117,2,3.6767285944042025,3.489751954768568,3.1823454751111533,2.873083769836694,2.797642402015937
530,4,3.6737986392664,3.4429041233493782,3.1520185789573394,2.799534869744262,2.748486200825376
503,3,3.673076791677436,3.428489190170568,2.887210538185918,2.7388417455894905,2.563581937273371
536,4,3.65,3.166078449851124,2.8310317988181746,2.667178042430696,2.347515026359225
472,1,3.477996977146748,3.157496435651563,2.824597706458295,2.5767589296245683,2.2776179824615914
512,4,3.4713685808491164,3.0826169714057223,2.6863120411429637,2.547686863374963,2.233215580863133
464,2,3.272035525350516,2.745851861762341,2.6218548945263924,2.0379519467153737,1.764112287577647
