itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
297,4,3.880158706411727,4.414963867010614,4.386520168667,4.772621806665986,5.0
19,3,3.874080043649174,4.161127468641706,4.181822641070221,4.370512664084506,4.5688153707535
274,3,3.873369575191094,4.159041176724695,4.1604561291645865,4.241225070965863,4.534070379226479
269,4,3.853491279309209,4.156740429219415,3.968505701561377,4.23443946889373,3.9255762701631474
127,5,3.85127769558887,4.056074254230377,3.923967962539417,4.167136256278973,3.91858800991634
255,4,3.825076286114701,3.9408561618103,3.8954407328836576,4.071731612756526,3.841286356341169
275,5,3.8240719899914297,3.821245105249367,3.890934335518862,3.825845475011161,3.5706777850145768
50,5,3.7979075246423006,3.6683322726184335,3.523908455421825,3.763358582341561,3.555599145790437
237,4,3.7729176332737353,3.574692883329063,3.5079377089507635,3.7106507492207577,3.507401169938865
295,4,3.771266505467725,3.39285074510089,3.325303444979627,3.4467675639674185,3.3775251348044266
287,3,3.752093444197541,3.265895304267477,3.316736675844099,3.4182860653269795,3.35998460129197
292,4,3.740074188180206,3.080835727835914,3.1927009737139134,3.325504922441912,2.746744538784456
294,1,3.689442939744876,2.9366556597942965,2.965435376552339,3.227357632630823,1.977733356591876
