itemid,act,ItemKnn,UserKNN,SVD,SVD++,Random
202,5,4.571556418994125,4.529858080112594,4.673693403492913,4.927281524952656,5.0
216,5,4.099410315104524,4.527036594330187,4.524587244915588,4.87066190145288,5.0
28,4,4.073856558845733,4.460721677276669,4.5236273726358025,4.869791114672074,5.0
223,5,4.071287691678156,4.436475459756069,4.4771923730119125,4.684576009384319,5.0
204,5,4.0477725086916445,4.253313563132269,4.404427143369115,4.668180473179515,5.0
123,4,3.968195735551314,4.24431159297375,4.403018967224862,4.545589239788141,4.974144497932129
82,5,3.9258277246960014,4.211198980863766,4.294155485595114,4.44602810023461,4.650248531275728
222,4,3.922814951320173,4.2063692115700855,4.241223361686639,4.428038377562538,4.632287905832251
126,2,3.8969327491803782,4.156166279840887,4.195052913248119,4.243307011901606,4.626179079735419
240,3,3.8906861275803073,4.095423088527944,4.149248140346629,4.2189328333284415,4.605621638166351
203,4,3.871678819113919,4.079747458913213,4.129983876017386,4.080134120155578,4.49326064415318
134,4,3.848304044403636,4.058495573594573,4.1184827448933365,4.02798710384762,4.465421704319096
97,3,3.774455982075098,4.044865954838958,4.100954727986729,4.009363875775313,4.439204262495265
71,3,3.773946241516547,4.003365919548072,4.054123590300592,3.9880002579403806,4.231001221300164
169,5,3.7730349792762055,3.8812534255014,4.049611006269402,3.9733704816017568,4.191562153167712
219,1,3.7723756119627954,3.8575520433231794,4.024293166453988,3.916609558105233,4.146299325566586
110,1,3.7543441463439513,3.839559631854679,4.01866885975484,3.9113236479004514,4.022696800471467
265,4,3.7491518192787066,3.8328036187928793,3.996834539669915,3.875853909053952,3.906463181263225
108,5,3.746280890499262,3.820665252792073,3.953426597939569,3.840178488653101,3.8811383312701846
57,5,3.72209085534134,3.7970900999509847,3.903456256271542,3.822229604639046,3.822100916387824
23,4,3.721518348500125,3.7765116648976074,3.874878606669564,3.8040946159559375,3.753112424810427
166,5,3.720476534401023,3.7634210045158007,3.801211307699073,3.736358937821862,3.749006239634785
241,4,3.6971468864942394,3.7114644437223,3.760170985923274,3.7185848255856135,3.7447038463659816
163,4,3.694529417368344,3.695812524448116,3.75981188788997,3.693029581593656,3.736072049013684
137,5,3.692690730280685,3.622751823907338,3.757222491668632,3.63049413003706,3.709557930589756
178,5,3.6718133897090457,3.609266072733453,3.704134513271711,3.630119735840689,3.6315100731884966
15,5,3.6670481890735305,3.5899465525035223,3.658058481863126,3.6049019196548975,3.5871077394228426
37,2,3.65,3.5886307524814205,3.655374695994885,3.554332421477774,3.488997493838524
192,4,3.5956094423732408,3.5639113465700216,3.618667952311797,3.5407690407532884,3.42413994516321
66,4,3.595145213131808,3.5263074024046057,3.611979237882683,3.5145064662234438,3.415219333094483
171,5,3.59318039244775,3.5248001500307944,3.5794638333563595,3.4779181358918727,3.392658258016933
272,3,3.5731769213593823,3.499401017523629,3.55308802014416,3.3888219406056104,3.3796801296480634
21,1,3.5719823882126103,3.498038067178499,3.528847563948443,3.3640910428897253,3.2496902244091954
68,4,3.5697093987530466,3.4732936259344784,3.507617522214278,3.333388202713814,3.2163250324437542
85,3,3.562968744611828,3.429840776176857,3.506693212833913,3.3239230916702147,3.170990987724081
161,4,3.550183145771491,3.4220451918042447,3.50392963890931,3.3054301264486967,3.1413438291428646
117,3,3.5243947872716586,3.420274250684141,3.492454100365951,3.2927993142938785,3.1322181412070904
94,2,3.4974165306470177,3.3645959820835176,3.4691258329053136,3.2080311771544694,3.0975796914272715
128,4,3.497258959488509,3.364278687923804,3.438239750234652,3.167625084928395,3.079529659485422
116,3,3.493554707855222,3.3531954829367905,3.325084942887204,3.095133539923455,3.0228723309875645
212,4,3.468012597725028,3.324945974668298,3.2882462098066974,3.0605740964260546,2.960278800169211
67,3,3.4618104472540514,3.2512350955543514,3.288124931988697,3.04589924177047,2.87631287774636
245,2,3.419980936872088,3.234703384356439,3.237909191085226,3.0428720279111383,2.825904330179588
26,3,3.3930225248175088,3.115657419858816,3.179851497981934,2.969104442896427,2.5621927336691224
159,3,3.391865412694576,3.090384978858302,3.1255307760111277,2.857768862838662,2.0503818429635627
193,4,3.3707513394378226,3.0503016886691943,3.1090278227552384,2.835386101356855,1.994989797274153
115,5,3.35,2.936390318671765,3.081181542203651,2.773350822781735,1.8719498033098292
102,2,3.3236724241387208,2.9321316193408364,2.978551411915172,2.722889467587344,1.7442964177982498
255,2,3.2983278937101472,2.81256771884395,2.936971796361176,2.706610296201806,1.4391070575814346
143,1,3.222004054267951,2.727884689382063,2.844871450311674,2.666253540169316,1.3726232004680958
93,5,3.1660455982060185,2.6976447168164297,2.770208058845234,2.6110640289084466,1.316917275576813
253,5,3.099799629150529,2.417555322307798,2.704736218281886,2.5627413069065508,1.1876834468606594
236,4,3.095107627001469,2.284349808298999,2.603066438597038,2.3452384530121426,1.0
78,1,3.0695848395884684,2.2614291416310657,2.598069902429096,2.331146417428718,1.0
